ob_date,prcp_amt
2015-01-01,3.8
2015-01-02,13.4
2015-01-03,1.8
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,1.4
2015-01-07,1.6
2015-01-08,9.8
2015-01-09,2.4
2015-01-10,8.6
2015-01-11,7.8
2015-01-12,6.2
2015-01-13,1.2
2015-01-14,9.0
2015-01-15,12.0
2015-01-16,5.0
2015-01-17,1.2
2015-01-18,0.2
2015-01-19,0.2
2015-01-20,0.0
2015-01-21,0.2
2015-01-22,0.0
2015-01-23,0.0
2015-01-24,5.8
2015-01-25,0.0
2015-01-26,4.2
2015-01-27,0.4
2015-01-28,4.2
2015-01-29,14.4
2015-01-30,3.6
2015-01-31,0.4
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,0.4
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,1.0
2015-02-15,0.0
2015-02-16,4.8
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,2.8
2015-02-20,0.2
2015-02-21,0.0
2015-02-22,0.2
2015-02-23,4.4
2015-02-24,3.2
2015-02-25,3.4
2015-02-26,18.2
2015-02-27,0.0
2015-02-28,0.2
2015-03-01,1.6
2015-03-02,1.6
2015-03-03,3.2
2015-03-04,1.2
2015-03-05,0.0
2015-03-06,0.0
2015-03-07,3.4
2015-03-08,2.6
2015-03-09,0.0
2015-03-10,2.0
2015-03-11,0.0
2015-03-12,1.4
2015-03-13,17.4
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,0.2
2015-03-17,0.4
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.6
2015-03-26,3.0
2015-03-27,0.0
2015-03-28,8.0
2015-03-29,9.2
2015-03-30,3.4
2015-03-31,9.2
2015-04-01,2.2
2015-04-02,7.0
2015-04-03,2.8
2015-04-04,2.4
2015-04-05,0.2
2015-04-06,0.2
2015-04-07,0.0
2015-04-08,0.0
2015-04-09,0.0
2015-04-10,0.0
2015-04-11,4.0
2015-04-12,2.8
2015-04-13,10.6
2015-04-14,0.0
2015-04-15,2.4
2015-04-16,0.4
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,0.8
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,0.0
2015-04-25,2.0
2015-04-26,0.4
2015-04-27,0.0
2015-04-28,9.4
2015-04-29,10.6
2015-04-30,3.8
2015-05-01,0.6
2015-05-02,0.0
2015-05-03,7.4
2015-05-04,4.0
2015-05-05,4.8
2015-05-06,3.8
2015-05-07,3.4
2015-05-08,0.6
2015-05-09,26.4
2015-05-10,0.4
2015-05-11,10.0
2015-05-12,0.6
2015-05-13,1.0
2015-05-14,0.0
2015-05-15,0.0
2015-05-16,1.6
2015-05-17,0.2
2015-05-18,5.0
2015-05-19,3.8
2015-05-20,3.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,1.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,7.4
2015-05-29,11.8
2015-05-30,1.4
2015-05-31,6.2
2015-06-01,3.8
2015-06-02,7.4
2015-06-03,1.4
2015-06-04,0.0
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,0.2
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,0.0
2015-06-13,0.0
2015-06-14,4.6
2015-06-15,0.0
2015-06-16,0.2
2015-06-17,2.0
2015-06-18,1.0
2015-06-19,0.2
2015-06-20,2.6
2015-06-21,2.0
2015-06-22,1.4
2015-06-23,0.6
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,1.8
2015-06-27,0.2
2015-06-28,3.8
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,4.0
2015-07-03,0.6
2015-07-04,8.6
2015-07-05,0.0
2015-07-06,0.4
2015-07-07,0.8
2015-07-08,4.0
2015-07-09,4.0
2015-07-10,0.0
2015-07-11,2.8
2015-07-12,3.4
2015-07-13,6.8
2015-07-14,1.0
2015-07-15,0.0
2015-07-16,0.2
2015-07-17,5.0
2015-07-18,0.0
2015-07-19,9.0
2015-07-20,0.0
2015-07-21,1.0
2015-07-22,2.0
2015-07-23,0.4
2015-07-24,0.0
2015-07-25,0.0
2015-07-26,0.0
2015-07-27,4.2
2015-07-28,17.2
2015-07-29,5.2
2015-07-30,1.2
2015-07-31,0.0
2015-08-01,6.8
2015-08-02,0.8
2015-08-03,0.4
2015-08-04,0.2
2015-08-05,0.2
2015-08-06,5.8
2015-08-07,0.0
2015-08-08,0.0
2015-08-09,0.2
2015-08-10,0.0
2015-08-11,2.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,17.4
2015-08-15,12.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,0.4
2015-08-20,2.6
2015-08-21,1.2
2015-08-22,0.0
2015-08-23,15.4
2015-08-24,21.4
2015-08-25,0.0
2015-08-26,2.2
2015-08-27,0.0
2015-08-28,1.0
2015-08-29,0.2
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.2
2015-09-04,0.0
2015-09-05,0.2
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,0.0
2015-09-12,0.8
2015-09-13,1.4
2015-09-14,0.0
2015-09-15,3.0
2015-09-16,0.2
2015-09-17,0.0
2015-09-18,0.2
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,2.4
2015-09-22,0.8
2015-09-23,0.0
2015-09-24,6.8
2015-09-25,5.4
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,0.2
2015-10-06,5.0
2015-10-07,0.4
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,1.2
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,0.0
2015-10-20,0.8
2015-10-21,3.0
2015-10-22,0.6
2015-10-23,0.0
2015-10-24,2.0
2015-10-25,0.8
2015-10-26,0.0
2015-10-27,0.0
2015-10-28,2.6
2015-10-29,11.8
2015-10-30,4.2
2015-10-31,2.4
2015-11-01,0.6
2015-11-02,0.0
2015-11-03,0.2
2015-11-04,6.0
2015-11-05,0.0
2015-11-06,4.8
2015-11-07,6.0
2015-11-08,7.8
2015-11-09,13.4
2015-11-10,5.2
2015-11-11,14.0
2015-11-12,8.6
2015-11-13,10.2
2015-11-14,0.6
2015-11-15,28.2
2015-11-16,2.4
2015-11-17,0.4
2015-11-18,9.2
2015-11-19,5.2
2015-11-20,0.2
2015-11-21,1.0
2015-11-22,0.8
2015-11-23,0.0
2015-11-24,1.8
2015-11-25,0.8
2015-11-26,0.0
2015-11-27,1.0
2015-11-28,7.4
2015-11-29,9.8
2015-11-30,8.2
2015-12-01,10.6
2015-12-02,2.4
2015-12-03,2.4
2015-12-04,27.2
2015-12-05,21.4
2015-12-06,27.6
2015-12-07,1.4
2015-12-08,0.8
2015-12-09,11.8
2015-12-10,9.4
2015-12-11,5.0
2015-12-12,1.8
2015-12-13,14.0
2015-12-14,2.2
2015-12-15,0.6
2015-12-16,0.4
2015-12-17,0.4
2015-12-18,0.2
2015-12-19,1.2
2015-12-20,8.0
2015-12-21,7.4
2015-12-22,15.6
2015-12-23,4.8
2015-12-24,7.8
2015-12-25,2.8
2015-12-26,27.4
2015-12-27,22.6
2015-12-28,0.4
2015-12-29,0.2
2015-12-30,1.6
2015-12-31,3.8
